th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
simple,1.0,0.3,7,2,0.782,0.561,1.0,1.0,7.687,15.384,0.0
simple,1.0,0.4,1,2,0.704,0.403,1.0,1.0,3.835,12.016,0.0
simple,1.0,0.4,3,2,0.702,0.399,1.0,1.0,7.418,15.735,0.0
simple,1.0,0.4,5,2,0.696,0.387,1.0,1.0,7.635,15.544,0.0
simple,1.0,0.4,7,2,0.696,0.387,1.0,1.0,11.816,27.825,0.0
simple,1.0,0.5,1,2,0.628,0.249,1.0,1.0,6.848,15.644,0.0
simple,1.0,0.5,3,2,0.628,0.249,1.0,1.0,8.766,16.531,0.0
simple,1.0,0.5,5,2,0.626,0.246,1.0,1.0,12.852,26.174,0.0
simple,1.0,0.5,7,2,0.622,0.237,1.0,1.0,14.853,36.0,0.3
simple,1.0,0.6,1,2,0.566,0.123,1.0,1.0,0.865,1.862,0.0
simple,1.0,0.6,3,2,0.566,0.123,1.0,1.0,4.258,7.206,0.0
simple,1.0,0.6,5,2,0.566,0.123,1.0,1.0,4.433,7.319,0.0
simple,1.0,0.6,7,2,0.564,0.118,1.0,1.0,28.107,47.091,0.4
simple,1.0,0.7,1,2,0.512,0.012,1.0,0.6,399999999.6,0.0,399999999.6
simple,1.0,0.7,3,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.0,0.7,5,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.0,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.0,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.1,1,2,0.87,0.764,0.976,0.97,3.047,10.136,0.0
simple,1.05,0.1,3,2,0.87,0.759,0.98,0.975,6.966,14.313,0.0
simple,1.05,0.1,5,2,0.87,0.759,0.98,0.975,8.003,15.514,0.0
simple,1.05,0.1,7,2,0.87,0.751,0.988,0.985,9.515,19.626,0.0
simple,1.05,0.2,1,2,0.838,0.674,1.0,1.0,3.311,13.523,0.0
simple,1.05,0.2,3,2,0.834,0.665,1.0,1.0,7.823,20.089,0.0
simple,1.05,0.2,5,2,0.832,0.661,1.0,1.0,7.228,14.657,0.0
simple,1.05,0.2,7,2,0.83,0.657,1.0,1.0,7.677,14.83,0.0
simple,1.05,0.3,1,2,0.782,0.561,1.0,1.0,2.363,8.168,0.0
simple,1.05,0.3,3,2,0.78,0.557,1.0,1.0,6.792,14.401,0.0
simple,1.05,0.3,5,2,0.78,0.557,1.0,1.0,7.824,15.396,0.0
simple,1.05,0.3,7,2,0.774,0.545,1.0,1.0,9.024,21.64,0.0
simple,1.05,0.4,1,2,0.702,0.399,1.0,1.0,4.41,12.547,0.0
simple,1.05,0.4,3,2,0.696,0.387,1.0,1.0,9.525,21.114,0.0
simple,1.05,0.4,5,2,0.69,0.375,1.0,1.0,9.526,20.939,0.0
simple,1.05,0.4,7,2,0.686,0.366,1.0,1.0,10.899,27.285,0.0
simple,1.05,0.5,1,2,0.624,0.242,1.0,1.0,4.752,9.081,0.0
simple,1.05,0.5,3,2,0.618,0.229,1.0,1.0,5.238,9.939,0.0
simple,1.05,0.5,5,2,0.616,0.225,1.0,1.0,11.038,23.037,0.0
simple,1.05,0.5,7,2,0.612,0.216,1.0,1.0,14.733,36.787,0.0
simple,1.05,0.6,1,2,0.566,0.123,1.0,1.0,0.89,1.928,0.0
simple,1.05,0.6,3,2,0.564,0.118,1.0,1.0,4.383,7.375,0.2
simple,1.05,0.6,5,2,0.564,0.118,1.0,1.0,4.583,7.483,0.2
simple,1.05,0.6,7,2,0.562,0.114,1.0,1.0,12.897,25.499,0.6
simple,1.05,0.7,1,2,0.51,0.008,1.0,0.4,599999999.4,0.0,599999999.4
simple,1.05,0.7,3,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.05,0.7,5,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.05,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
simple,1.05,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
