th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
simple,1.1,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.1,3,2,0.843,0.685,1.0,1.0,4.895,7.958,0.4
simple,1.15,0.1,5,2,0.813,0.625,1.0,1.0,5.606,8.357,0.9
simple,1.15,0.1,7,2,0.76,0.519,1.0,1.0,5.012,6.883,1.0
simple,1.15,0.2,3,2,0.62,0.238,1.0,1.0,0.467,1.32,0.0
simple,1.15,0.2,5,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.15,0.2,7,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.15,0.3,3,2,0.617,0.232,1.0,1.0,0.717,1.549,0.0
simple,1.15,0.3,5,2,0.617,0.232,1.0,1.0,1.058,2.033,0.0
simple,1.15,0.3,7,2,0.617,0.232,1.0,1.0,1.083,2.016,0.0
simple,1.15,0.4,3,2,0.603,0.206,1.0,1.0,3.184,4.981,0.6
simple,1.15,0.4,5,2,0.6,0.2,1.0,1.0,4.08,5.955,2.8
simple,1.15,0.4,7,2,0.6,0.2,1.0,1.0,5.081,7.108,2.8
simple,1.15,0.5,3,2,0.573,0.149,1.0,1.0,4.769,6.603,2.0
simple,1.15,0.5,5,2,0.56,0.12,1.0,1.0,2.5,2.207,2.1
simple,1.15,0.5,7,2,0.556,0.114,1.0,1.0,3.1,3.407,2.0
simple,1.15,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
