alpha,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,simple,1.1,0.3,3,2,0.758,0.515,1.0,1.0,7.416,18.997,0.0
0.333,simple,1.1,0.3,5,2,0.756,0.511,1.0,1.0,8.567,19.646,0.0
0.333,simple,1.1,0.3,7,2,0.754,0.506,1.0,1.0,8.574,19.612,0.0
0.333,simple,1.1,0.4,3,2,0.658,0.312,1.0,1.0,7.698,12.576,1.7
0.333,simple,1.1,0.4,5,2,0.65,0.296,1.0,1.0,11.132,19.583,2.5
0.333,simple,1.1,0.4,7,2,0.648,0.292,1.0,1.0,10.234,16.377,2.5
0.333,simple,1.1,0.5,3,2,0.58,0.157,1.0,1.0,6.368,10.875,0.0
0.333,simple,1.1,0.5,5,2,0.58,0.157,1.0,1.0,7.369,12.06,0.7
0.333,simple,1.1,0.5,7,2,0.58,0.157,1.0,1.0,10.002,11.863,8.7
0.333,simple,1.1,0.6,3,2,0.54,0.075,1.0,1.0,16.22,22.873,0.6
0.333,simple,1.1,0.6,5,2,0.54,0.075,1.0,1.0,24.58,23.309,8.8
0.333,simple,1.1,0.6,7,2,0.54,0.075,1.0,1.0,24.54,23.242,8.8
0.333,simple,1.1,0.7,3,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.1,0.7,5,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.1,0.7,7,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.1,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.1,3,2,0.868,0.746,0.992,0.99,7.33,17.489,0.0
0.333,simple,1.15,0.1,5,2,0.862,0.729,0.996,0.994,7.996,16.291,0.0
0.333,simple,1.15,0.1,7,2,0.856,0.717,0.996,0.994,8.193,16.559,0.0
0.333,simple,1.15,0.2,3,2,0.806,0.612,1.0,1.0,6.124,14.17,0.0
0.333,simple,1.15,0.2,5,2,0.8,0.6,1.0,1.0,6.902,14.415,0.0
0.333,simple,1.15,0.2,7,2,0.8,0.6,1.0,1.0,7.279,14.841,0.0
0.333,simple,1.15,0.3,3,2,0.758,0.515,1.0,1.0,8.507,23.034,0.0
0.333,simple,1.15,0.3,5,2,0.756,0.511,1.0,1.0,9.808,23.683,0.0
0.333,simple,1.15,0.3,7,2,0.752,0.503,1.0,1.0,8.943,19.315,0.3
0.333,simple,1.15,0.4,3,2,0.648,0.29,1.0,1.0,6.078,9.868,0.5
0.333,simple,1.15,0.4,5,2,0.642,0.278,1.0,1.0,9.621,16.014,2.5
0.333,simple,1.15,0.4,7,2,0.634,0.261,1.0,1.0,9.154,14.894,2.8
0.333,simple,1.15,0.5,3,2,0.58,0.157,1.0,1.0,6.43,10.987,0.0
0.333,simple,1.15,0.5,5,2,0.58,0.157,1.0,1.0,11.697,17.118,9.0
0.333,simple,1.15,0.5,7,2,0.578,0.152,1.0,1.0,11.664,17.079,8.9
0.333,simple,1.15,0.6,3,2,0.54,0.075,1.0,1.0,24.22,22.873,8.6
0.333,simple,1.15,0.6,5,2,0.54,0.075,1.0,1.0,24.58,23.309,8.8
0.333,simple,1.15,0.6,7,2,0.538,0.07,1.0,1.0,24.907,23.21,9.6
0.333,simple,1.15,0.7,3,2,0.518,0.029,1.0,0.8,200000001.8,0.0,200000001.8
0.333,simple,1.15,0.7,5,2,0.518,0.029,1.0,0.8,200000001.8,0.0,200000001.8
0.333,simple,1.15,0.7,7,2,0.518,0.029,1.0,0.8,200000001.8,0.0,200000001.8
0.333,simple,1.15,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.2,0.1,3,2,0.86,0.726,0.996,0.994,7.28,16.011,0.0
0.333,simple,1.2,0.1,5,2,0.856,0.718,0.996,0.994,8.303,16.705,0.0
0.333,simple,1.2,0.1,7,2,0.848,0.7,0.996,0.993,8.113,15.668,0.0
0.333,simple,1.2,0.2,3,2,0.802,0.604,1.0,1.0,5.963,13.191,0.0
0.333,simple,1.2,0.2,5,2,0.798,0.596,1.0,1.0,7.017,14.246,0.0
0.333,simple,1.2,0.2,7,2,0.794,0.589,1.0,1.0,7.073,14.209,0.0
0.333,simple,1.2,0.3,3,2,0.754,0.506,1.0,1.0,9.135,21.62,0.2
0.333,simple,1.2,0.3,5,2,0.748,0.494,1.0,1.0,8.668,19.599,0.4
0.333,simple,1.2,0.3,7,2,0.746,0.49,1.0,1.0,6.954,13.834,0.2
0.333,simple,1.2,0.4,3,2,0.634,0.261,1.0,1.0,8.642,15.316,1.4
