,cv_step,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
756,2,0.6,simple,1.1,3,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
757,2,0.6,simple,1.1,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
758,2,0.6,simple,1.1,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
759,2,0.6,simple,1.15,3,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
760,2,0.6,simple,1.15,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
761,2,0.6,simple,1.15,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
762,2,0.6,simple,1.2,3,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
763,2,0.6,simple,1.2,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
764,2,0.6,simple,1.2,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
765,2,0.6,daytime,1.0,3,0.517,0.065,1.0,1.0,4.0,3.0,4.0
766,2,0.6,daytime,1.0,5,0.5,0.032,1.0,1.0,2.0,0.0,2.0
767,2,0.6,daytime,1.0,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
768,2,0.6,daytime,1.05,3,0.517,0.065,1.0,1.0,4.0,3.0,4.0
769,2,0.6,daytime,1.05,5,0.5,0.032,1.0,1.0,2.0,0.0,2.0
770,2,0.6,daytime,1.05,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
771,2,0.6,daytime,1.1,3,0.517,0.065,1.0,1.0,4.0,3.0,4.0
772,2,0.6,daytime,1.1,5,0.5,0.032,1.0,1.0,2.0,0.0,2.0
773,2,0.6,daytime,1.1,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
774,2,0.6,daytime,1.15,3,0.517,0.065,1.0,1.0,4.0,3.0,4.0
775,2,0.6,daytime,1.15,5,0.5,0.032,1.0,1.0,2.0,0.0,2.0
776,2,0.6,daytime,1.15,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
777,2,0.6,daytime,1.2,3,0.5,0.032,1.0,1.0,3.0,0.0,3.0
778,2,0.6,daytime,1.2,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
779,2,0.6,daytime,1.2,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
780,2,0.7,simple,1.0,3,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
781,2,0.7,simple,1.0,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
782,2,0.7,simple,1.0,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
783,2,0.7,simple,1.05,3,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
784,2,0.7,simple,1.05,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
785,2,0.7,simple,1.05,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
