alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,simple,1.1,0.4,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.4,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.4,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.1,0.6,3,2,0.597,0.196,1.0,1.0,0.1,0.153,0.0
0.333,2000,simple,1.1,0.6,5,2,0.597,0.196,1.0,1.0,0.1,0.153,0.0
0.333,2000,simple,1.1,0.6,7,2,0.597,0.196,1.0,1.0,0.441,0.887,0.0
0.333,2000,simple,1.1,0.7,3,2,0.597,0.196,1.0,1.0,2.957,4.97,0.7
0.333,2000,simple,1.1,0.7,5,2,0.59,0.182,1.0,1.0,3.348,4.404,1.3
0.333,2000,simple,1.1,0.7,7,2,0.59,0.182,1.0,1.0,4.764,6.642,1.4
0.333,2000,simple,1.1,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.15,0.1,3,2,0.757,0.511,1.0,1.0,11.865,11.4,8.3
0.333,2000,simple,1.15,0.1,5,2,0.733,0.465,1.0,1.0,13.299,12.231,11.4
0.333,2000,simple,1.15,0.1,7,2,0.717,0.431,1.0,1.0,13.421,12.729,12.1
0.333,2000,simple,1.15,0.2,3,2,0.643,0.288,1.0,1.0,10.254,14.177,2.6
0.333,2000,simple,1.15,0.2,5,2,0.624,0.248,1.0,1.0,5.983,10.217,0.0
0.333,2000,simple,1.15,0.2,7,2,0.617,0.234,1.0,1.0,4.225,6.4,0.0
0.333,2000,simple,1.15,0.3,3,2,0.61,0.222,1.0,1.0,3.3,7.876,0.0
0.333,2000,simple,1.15,0.3,5,2,0.6,0.203,1.0,1.0,0.444,1.257,0.0
0.333,2000,simple,1.15,0.3,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.4,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.4,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.4,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.15,0.6,3,2,0.597,0.196,1.0,1.0,0.1,0.153,0.0
0.333,2000,simple,1.15,0.6,5,2,0.597,0.196,1.0,1.0,0.1,0.153,0.0
0.333,2000,simple,1.15,0.6,7,2,0.597,0.196,1.0,1.0,0.441,0.887,0.0
0.333,2000,simple,1.15,0.7,3,2,0.597,0.196,1.0,1.0,4.336,6.007,0.9
0.333,2000,simple,1.15,0.7,5,2,0.59,0.182,1.0,1.0,5.579,8.071,1.4
0.333,2000,simple,1.15,0.7,7,2,0.587,0.175,1.0,1.0,5.578,6.001,3.4
0.333,2000,simple,1.15,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.15,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.15,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.15,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
