alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.2,0.7,7,2,0.642,0.278,1.0,1.0,16.059,29.999,0.6
0.333,2000,daytime,1.2,0.8,3,2,0.556,0.101,1.0,1.0,9.786,14.379,3.8
0.333,2000,daytime,1.2,0.8,5,2,0.554,0.097,1.0,1.0,12.6,15.771,7.6
0.333,2000,daytime,1.2,0.8,7,2,0.552,0.093,1.0,1.0,12.567,16.04,6.6
0.333,2000,daytime,1.2,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.1,3,2,0.846,0.708,0.985,0.978,6.927,15.284,0.0
0.333,2000,simple,1.0,0.1,5,2,0.844,0.7,0.988,0.983,7.457,15.902,0.0
0.333,2000,simple,1.0,0.1,7,2,0.842,0.696,0.988,0.983,8.074,16.519,0.2
0.333,2000,simple,1.0,0.2,3,2,0.808,0.615,1.0,1.0,5.15,11.146,0.0
0.333,2000,simple,1.0,0.2,5,2,0.804,0.607,1.0,1.0,6.227,13.798,0.0
0.333,2000,simple,1.0,0.2,7,2,0.8,0.598,1.0,1.0,5.98,12.19,0.0
0.333,2000,simple,1.0,0.3,3,2,0.77,0.538,1.0,1.0,6.639,14.58,0.0
0.333,2000,simple,1.0,0.3,5,2,0.766,0.53,1.0,1.0,8.186,17.075,0.0
0.333,2000,simple,1.0,0.3,7,2,0.764,0.525,1.0,1.0,8.399,17.149,0.2
0.333,2000,simple,1.0,0.4,3,2,0.728,0.451,1.0,1.0,7.267,17.082,0.0
0.333,2000,simple,1.0,0.4,5,2,0.724,0.442,1.0,1.0,6.728,12.936,0.0
0.333,2000,simple,1.0,0.4,7,2,0.724,0.442,1.0,1.0,6.959,12.94,0.2
0.333,2000,simple,1.0,0.5,3,2,0.694,0.382,1.0,1.0,9.17,20.657,0.0
0.333,2000,simple,1.0,0.5,5,2,0.69,0.374,1.0,1.0,10.124,21.07,0.0
0.333,2000,simple,1.0,0.5,7,2,0.684,0.362,1.0,1.0,8.449,16.194,0.2
0.333,2000,simple,1.0,0.6,3,2,0.656,0.306,1.0,1.0,11.314,26.646,0.0
0.333,2000,simple,1.0,0.6,5,2,0.652,0.298,1.0,1.0,13.74,30.141,0.1
