,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
119,0,3,uniform,0.4,daytime,1.2,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
120,0,3,uniform,0.5,simple,1.0,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
121,0,3,uniform,0.5,simple,1.0,5,0.767,0.481,1.0,1.0,20.462,10.522,25.0
122,0,3,uniform,0.5,simple,1.0,7,0.75,0.444,1.0,1.0,20.25,10.925,25.0
123,0,3,uniform,0.5,simple,1.05,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
124,0,3,uniform,0.5,simple,1.05,5,0.767,0.481,1.0,1.0,20.462,10.522,25.0
125,0,3,uniform,0.5,simple,1.05,7,0.75,0.444,1.0,1.0,20.25,10.925,25.0
126,0,3,uniform,0.5,simple,1.1,3,0.767,0.481,1.0,1.0,18.385,11.685,22.0
127,0,3,uniform,0.5,simple,1.1,5,0.767,0.481,1.0,1.0,20.538,10.558,25.0
128,0,3,uniform,0.5,simple,1.1,7,0.75,0.444,1.0,1.0,20.333,10.965,25.0
129,0,3,uniform,0.5,simple,1.15,3,0.767,0.481,1.0,1.0,18.385,11.685,22.0
130,0,3,uniform,0.5,simple,1.15,5,0.767,0.481,1.0,1.0,20.692,10.549,25.0
131,0,3,uniform,0.5,simple,1.15,7,0.75,0.444,1.0,1.0,20.5,10.958,25.0
132,0,3,uniform,0.5,simple,1.2,3,0.767,0.481,1.0,1.0,18.615,11.784,22.0
133,0,3,uniform,0.5,simple,1.2,5,0.75,0.444,1.0,1.0,20.083,10.579,24.0
134,0,3,uniform,0.5,simple,1.2,7,0.733,0.407,1.0,1.0,19.818,11.011,25.0
135,0,3,uniform,0.5,daytime,1.0,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
136,0,3,uniform,0.5,daytime,1.0,5,0.767,0.481,1.0,1.0,18.462,11.705,22.0
